ticker,event_ticker,market_title,yes_sub_title,result,ts_utc,price_open,price_high,price_low,price_close,price_mean,price_previous,yes_bid_close,yes_ask_close,volume,open_interest,implied_prob_pct
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:09:00+00:00,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.23,4683.0,198823.0,23.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:10:00+00:00,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,2237.0,200976.0,23.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:11:00+00:00,0.24,0.24,0.23,0.24,0.24,0.23,0.23,0.24,142438.0,342984.0,24.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:12:00+00:00,0.24,0.26,0.23,0.26,0.2329,0.24,0.24,0.25,96742.0,432846.0,26.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:13:00+00:00,0.25,0.25,0.21,0.21,0.233,0.26,0.2,0.21,4158.0,436968.0,21.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:14:00+00:00,0.21,0.21,0.17,0.18,0.1786,0.21,0.16,0.18,4789.0,441724.0,18.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:15:00+00:00,0.18,0.2,0.17,0.2,0.1815,0.18,0.18,0.2,8418.0,449636.0,20.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:16:00+00:00,0.19,0.19,0.13,0.14,0.1708,0.2,0.13,0.14,4614.0,452670.0,14.000000000000002
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:17:00+00:00,0.14,0.16,0.14,0.16,0.1491,0.14,0.15,0.16,9797.0,462042.0,16.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:18:00+00:00,0.15,0.16,0.13,0.14,0.148,0.16,0.13,0.14,8287.0,469505.0,14.000000000000002
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:19:00+00:00,0.14,0.14,0.12,0.12,0.127,0.14,0.12,0.13,28500.0,497324.0,12.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:20:00+00:00,0.13,0.13,0.12,0.13,0.1286,0.12,0.12,0.13,2687.0,499730.0,13.0
KXNBAGAME-26APR08OKCLAC-LAC,KXNBAGAME-26APR08OKCLAC,,LAC,,2026-04-09 02:21:00+00:00,0.13,0.13,0.12,0.13,0.1295,0.13,0.12,0.13,3019.0,502614.0,13.0
